work_id	title_display	author_person_id	author_name_display	year_written_start	year_written_end	work_type	language	place_written_id	place_recipient_ids	description	significance	modern_edition_url	citations
nt-galatians	Letter to the Galatians	paul	Paul of Tarsus	48	55	letter	Greek			Letter on Gentile inclusion and law/faith controversy.	Central to early debates about Torah and Gentiles. 	https://www.biblegateway.com/passage/?search=Galatians&version=NRSVUE	https://en.wikipedia.org/wiki/Epistle_to_the_Galatians
nt-1thess	First Letter to the Thessalonians	paul	Paul of Tarsus	49	51	letter	Greek		city:thessalonica-thessaloniki	Encouragement and early Christian eschatology.	Among earliest extant Christian writings. 	https://www.biblegateway.com/passage/?search=1%20Thessalonians&version=NRSVUE	https://en.wikipedia.org/wiki/First_Epistle_to_the_Thessalonians
nt-2thess	Second Letter to the Thessalonians		Anonymous (trad. Paul)	50	100	letter	Greek		city:thessalonica-thessaloniki	Clarifies eschatology and calls for steadiness.	"Influential apocalyptic tradition (""man of lawlessness""). "	https://www.biblegateway.com/passage/?search=2%20Thessalonians&version=NRSVUE	https://en.wikipedia.org/wiki/Second_Epistle_to_the_Thessalonians
nt-1cor	First Letter to the Corinthians	paul	Paul of Tarsus	53	55	letter	Greek		city:corinth-ancient-corinth	Pastoral correction on divisions, worship, resurrection.	Key early evidence for Eucharist tradition and resurrection teaching. 	https://www.biblegateway.com/passage/?search=1%20Corinthians&version=NRSVUE	https://en.wikipedia.org/wiki/First_Epistle_to_the_Corinthians
nt-2cor	Second Letter to the Corinthians	paul	Paul of Tarsus	55	56	letter	Greek		city:corinth-ancient-corinth	Defense of apostolic ministry; reconciliation and suffering.	Major source for Pauline ministry theology. 	https://www.biblegateway.com/passage/?search=2%20Corinthians&version=NRSVUE	https://en.wikipedia.org/wiki/Second_Epistle_to_the_Corinthians
nt-romans	Letter to the Romans	paul	Paul of Tarsus	56	58	letter	Greek		city:rome-rome	Paul’s letter to the church at Rome.	Foundational Pauline theology; soteriology and Jew/Gentile issues. 	https://www.biblegateway.com/passage/?search=Romans&version=NRSVUE	https://en.wikipedia.org/wiki/Epistle_to_the_Romans
gospel-of-thomas	Gospel of Thomas		Anonymous (attributed to Thomas)	60	200	other	Coptic			Sayings collection (logia) attributed to Jesus; preserved in Coptic with Greek fragments.	Major extra-canonical sayings gospel; central to “lost Christianities” study.	https://en.wikipedia.org/wiki/Gospel_of_Thomas	https://en.wikipedia.org/wiki/Gospel_of_Thomas
nt-1peter	First Letter of Peter	peter	Peter (traditional)	60	95	letter	Greek			Encouragement amid suffering; holiness; baptismal identity.	Important for persecution theology and ecclesial ethics. 	https://www.biblegateway.com/passage/?search=1%20Peter&version=NRSVUE	https://en.wikipedia.org/wiki/First_Epistle_of_Peter
nt-colossians	Letter to the Colossians		Anonymous (trad. Paul)	60	90	letter	Greek		city:colossae-near-honaz	Christ’s supremacy; warning against false teaching.	Important for cosmic Christology. 	https://www.biblegateway.com/passage/?search=Colossians&version=NRSVUE	https://en.wikipedia.org/wiki/Epistle_to_the_Colossians
nt-ephesians	Letter to the Ephesians		Anonymous (trad. Paul)	60	95	letter	Greek		city:ephesus-selcuk-area	Letter on church unity and cosmic reconciliation in Christ.	Influential ecclesiology and “in Christ” theology. 	https://www.biblegateway.com/passage/?search=Ephesians&version=NRSVUE	https://en.wikipedia.org/wiki/Epistle_to_the_Ephesians
nt-jude	Letter of Jude		Anonymous (trad. Jude)	60	100	letter	Greek			Polemic against intruders; appeals to tradition and judgment.	Early anti-false-teacher rhetoric with apocalyptic motifs. 	https://www.biblegateway.com/passage/?search=Jude&version=NRSVUE	https://en.wikipedia.org/wiki/Epistle_of_Jude
nt-mark	Gospel according to Mark	mark-the-evangelist	Mark (traditional)	60	75	treatise	Greek			Canonical gospel narrative often dated earliest of the four.	Core canonical gospel; source for Matthew/Luke. 	https://www.biblegateway.com/passage/?search=Mark&version=NRSVUE	https://en.wikipedia.org/wiki/Gospel_of_Mark
nt-philemon	Letter to Philemon	paul	Paul of Tarsus	60	62	letter	Greek		city:colossae-near-honaz	Intercession for Onesimus; reconciliation.	Short window into Pauline ethics and social practice. 	https://www.biblegateway.com/passage/?search=Philemon&version=NRSVUE	https://en.wikipedia.org/wiki/Epistle_to_Philemon
nt-philippians	Letter to the Philippians	paul	Paul of Tarsus	60	62	letter	Greek		city:philippi-filippoi	Joy and perseverance; includes Christ hymn.	Early Christological hymn and pastoral model. 	https://www.biblegateway.com/passage/?search=Philippians&version=NRSVUE	https://en.wikipedia.org/wiki/Epistle_to_the_Philippians
ascension-of-isaiah	Ascension of Isaiah		Anonymous (pseudonymous as Isaiah)	70	175	other	Greek			Composite Judeo-Christian apocalypse/vision with Christological material.	Important for early visionary Christology and prophetic-apocalyptic tradition.	https://en.wikipedia.org/wiki/Ascension_of_Isaiah	https://en.wikipedia.org/wiki/Ascension_of_Isaiah
epistle-barnabas	Epistle of Barnabas		Anonymous (pseudonymous as Barnabas)	70	135	letter	Greek			Anti-Judaizing tract with allegorical exegesis; includes “Two Ways” material.	Important for early Christian-Jewish relations and non-canonical reception.	https://en.wikipedia.org/wiki/Epistle_of_Barnabas	https://en.wikipedia.org/wiki/Epistle_of_Barnabas
nt-james	Letter of James	james-the-just	James the Just (traditional)	70	110	letter	Greek			Practical exhortation on faith, works, speech, endurance.	Early Christian wisdom tradition and ethics. 	https://www.biblegateway.com/passage/?search=James&version=NRSVUE	https://en.wikipedia.org/wiki/Epistle_of_James
nt-luke	Gospel according to Luke	luke	Luke (traditional)	70	90	treatise	Greek			Canonical gospel narrative with emphasis on salvation history.	Core canonical gospel; major source for infancy narratives. 	https://www.biblegateway.com/passage/?search=Luke&version=NRSVUE	https://en.wikipedia.org/wiki/Gospel_of_Luke
nt-matthew	Gospel according to Matthew		Anonymous (trad. Matthew)	70	90	treatise	Greek			Canonical gospel narrative emphasizing Jesus as Messiah.	Core canonical gospel; synoptic tradition. 	https://www.biblegateway.com/passage/?search=Matthew&version=NRSVUE	https://en.wikipedia.org/wiki/Gospel_of_Matthew
odes-of-solomon	Odes of Solomon		Anonymous	70	125	other	Syriac			Collection of early Christian hymnic odes; possibly Jewish-Christian in origin.	Major witness to early devotion and hymnody.	https://en.wikipedia.org/wiki/Odes_of_Solomon	https://en.wikipedia.org/wiki/Odes_of_Solomon
didache	Didache		Anonymous	80	120	rule	Greek	city:antioch-antakya		Early church manual on ethics (“Two Ways”), baptism, Eucharist, ministry.	Earliest surviving church-order text; key for primitive liturgy/discipline.	https://www.newadvent.org/fathers/0714.htm	https://www.newadvent.org/fathers/0714.htm;https://en.wikipedia.org/wiki/Didache
nt-1tim	First Letter to Timothy		Anonymous (trad. Paul)	80	100	letter	Greek			Pastoral counsel on teaching and church order.	Key pastoral epistle for early community structure. 	https://www.biblegateway.com/passage/?search=1%20Timothy&version=NRSVUE	https://en.wikipedia.org/wiki/First_Epistle_to_Timothy
nt-2tim	Second Letter to Timothy		Anonymous (trad. Paul)	80	100	letter	Greek			Perseverance in suffering; safeguarding teaching.	Important for pastoral succession and Scripture statement. 	https://www.biblegateway.com/passage/?search=2%20Timothy&version=NRSVUE	https://en.wikipedia.org/wiki/Second_Epistle_to_Timothy
nt-acts	Acts of the Apostles	luke	Luke (traditional)	80	95	chronicle	Greek			Narrative of early apostolic mission and church expansion.	Primary narrative source for earliest post-Easter movement. 	https://www.biblegateway.com/passage/?search=Acts&version=NRSVUE	https://en.wikipedia.org/wiki/Acts_of_the_Apostles
nt-hebrews	Letter to the Hebrews		Anonymous	80	95	homily	Greek			Exhortation presenting Christ as high priest and new covenant.	Core for priesthood/sacrifice theology; major canonical homily. 	https://www.biblegateway.com/passage/?search=Hebrews&version=NRSVUE	https://en.wikipedia.org/wiki/Epistle_to_the_Hebrews
nt-titus	Letter to Titus		Anonymous (trad. Paul)	80	100	letter	Greek			Guidance on appointing elders and teaching.	Pastoral governance and catechesis. 	https://www.biblegateway.com/passage/?search=Titus&version=NRSVUE	https://en.wikipedia.org/wiki/Epistle_to_Titus
nt-1john	First Letter of John	john-the-apostle	John (traditional)	90	110	letter	Greek			Assurance, love, Christology; anti-secession polemic.	Key Johannine theological text. 	https://www.biblegateway.com/passage/?search=1%20John&version=NRSVUE	https://en.wikipedia.org/wiki/First_Epistle_of_John
nt-2john	Second Letter of John	john-the-apostle	John (traditional)	90	110	letter	Greek			Short note on truth/love; warns against deceivers.	Early boundary-setting for doctrine and hospitality. 	https://www.biblegateway.com/passage/?search=2%20John&version=NRSVUE	https://en.wikipedia.org/wiki/Second_Epistle_of_John
nt-3john	Third Letter of John	john-the-apostle	John (traditional)	90	110	letter	Greek			Local leadership dispute; hospitality and authority.	Evidence for early community conflict dynamics. 	https://www.biblegateway.com/passage/?search=3%20John&version=NRSVUE	https://en.wikipedia.org/wiki/Third_Epistle_of_John
nt-john	Gospel according to John	john-the-apostle	John (traditional)	90	110	treatise	Greek			Canonical gospel with high Christology and extended discourses.	Key for Logos Christology; distinct Johannine tradition. 	https://www.biblegateway.com/passage/?search=John&version=NRSVUE	https://en.wikipedia.org/wiki/Gospel_of_John
nt-revelation	Revelation (Apocalypse of John)	john-of-patmos	John of Patmos (traditional)	90	96	other	Greek	city:patmos-patmos		Apocalyptic visions and letters to seven churches.	Canonical apocalypse shaping eschatology and liturgical imagery. 	https://www.biblegateway.com/passage/?search=Revelation&version=NRSVUE	https://en.wikipedia.org/wiki/Book_of_Revelation
1-clement	First Letter of Clement	clement-of-rome	Clement of Rome	95	97	letter	Greek	city:rome-rome	city:corinth-ancient-corinth	Roman church letter to Corinth urging unity and orderly ministry.	Major witness to early Roman leadership, order, and succession language.	https://www.newadvent.org/fathers/1010.htm	https://www.newadvent.org/fathers/1010.htm;https://en.wikipedia.org/wiki/First_Epistle_of_Clement
acts-of-paul	Acts of Paul		Anonymous	100	160	other	Greek			Apocryphal acts about Paul; includes Thecla and correspondence with Corinthians in some traditions.	Early apocryphal Pauline narrative complex; widely transmitted.	https://en.wikipedia.org/wiki/Acts_of_Paul	https://en.wikipedia.org/wiki/Acts_of_Paul
apocalypse-peter	Apocalypse of Peter		Anonymous	100	150	other	Greek			Apocalyptic vision of rewards and punishments; known in early canon discussions.	Influential early apocalypse; evidence for afterlife imagery in early Christianity.	https://en.wikipedia.org/wiki/Apocalypse_of_Peter	https://en.wikipedia.org/wiki/Apocalypse_of_Peter
nt-2peter	Second Letter of Peter		Anonymous (pseudonymous as Peter)	100	140	letter	Greek			Polemic against false teachers; parousia delay.	Important for canon awareness and anti-false-teaching tradition. 	https://www.biblegateway.com/passage/?search=2%20Peter&version=NRSVUE	https://en.wikipedia.org/wiki/Second_Epistle_of_Peter
shepherd-of-hermas	The Shepherd of Hermas	hermas	Hermas	100	150	treatise	Greek	city:rome-rome		Visions and mandates calling for repentance and moral rigor.	Widely read in early churches; key witness to Roman Christianity.	https://en.wikipedia.org/wiki/The_Shepherd_of_Hermas	https://en.wikipedia.org/wiki/The_Shepherd_of_Hermas;https://www.ccel.org/ccel/schaff/anf02.html
ignatius-ephesians	Ignatius, Letter to the Ephesians	ignatius-of-antioch	Ignatius of Antioch	107	110	letter	Greek	city:smyrna-izmir	city:ephesus-selcuk-area	Letter stressing unity with bishop/presbyters and Christological confession.	Core text for early episcopal ecclesiology and anti-docetic concerns.	https://www.ccel.org/ccel/schaff/anf01.v.i.html	https://www.ccel.org/ccel/schaff/anf01.html;https://en.wikipedia.org/wiki/Epistle_to_the_Ephesians_%28Ignatius%29
ignatius-magnesians	Ignatius, Letter to the Magnesians	ignatius-of-antioch	Ignatius of Antioch	107	110	letter	Greek	city:smyrna-izmir		Letter emphasizing unity, obedience to bishop, and Christian life.	Key witness to early church order; recipient city not in current places list.	https://en.wikipedia.org/wiki/Epistle_to_the_Magnesians	https://en.wikipedia.org/wiki/Epistle_to_the_Magnesians
ignatius-romans	Ignatius, Letter to the Romans	ignatius-of-antioch	Ignatius of Antioch	107	110	letter	Greek	city:smyrna-izmir	city:rome-rome	Letter begging Roman Christians not to prevent his martyrdom.	Famous martyrdom spirituality text; early Roman church profile.	https://en.wikipedia.org/wiki/Epistle_to_the_Romans	https://en.wikipedia.org/wiki/Epistle_to_the_Romans
ignatius-trallians	Ignatius, Letter to the Trallians	ignatius-of-antioch	Ignatius of Antioch	107	110	letter	Greek	city:smyrna-izmir		Letter warning against heresy and urging unity around bishop.	Key early anti-docetic/anti-schismatic testimony.	https://en.wikipedia.org/wiki/Epistle_to_the_Trallians	https://en.wikipedia.org/wiki/Epistle_to_the_Trallians
ignatius-philadelphians	Ignatius, Letter to the Philadelphians	ignatius-of-antioch	Ignatius of Antioch	108	110	letter	Greek	city:troas-alexandria-troas	city:philadelphia-alasehir	Letter urging unity and warning against Judaizing and division.	Important for early ecclesial unity and polemics.	https://en.wikipedia.org/wiki/Epistle_to_the_Philadelphians	https://en.wikipedia.org/wiki/Epistle_to_the_Philadelphians
ignatius-polycarp	Ignatius, Letter to Polycarp	ignatius-of-antioch	Ignatius of Antioch	108	110	letter	Greek	city:troas-alexandria-troas	city:smyrna-izmir	Personal exhortation to Polycarp on leadership and steadfastness.	Important for early episcopal pastoral counsel.	https://www.ccel.org/ccel/schaff/anf01.v.x.html	https://www.ccel.org/ccel/schaff/anf01.v.x.html;https://en.wikipedia.org/wiki/Epistle_to_Polycarp
ignatius-smyrnaeans	Ignatius, Letter to the Smyrnaeans	ignatius-of-antioch	Ignatius of Antioch	108	110	letter	Greek	city:troas-alexandria-troas	city:smyrna-izmir	Letter insisting on real incarnation and Eucharist; unity with bishop.	Classic early anti-docetic text; Eucharistic realism witness.	https://www.ccel.org/ccel/schaff/anf01.v.vii.html	https://www.ccel.org/ccel/schaff/anf01.v.vii.html;https://en.wikipedia.org/wiki/Epistle_to_the_Smyrnaeans
gospel-hebrews	Gospel of the Hebrews (fragments)		Anonymous	110	180	other	Hebrew/Aramaic			Jewish-Christian gospel known only through patristic quotations and reports.	Important for Jewish-Christian gospel traditions and early reception history.	https://en.wikipedia.org/wiki/Gospel_of_the_Hebrews	https://en.wikipedia.org/wiki/Gospel_of_the_Hebrews
