doctrine_id	name_display	category	description	first_attested_year	first_attested_work_id	controversy_level	resolution	citations
baptismal-regeneration	Baptismal Regeneration	sacraments	Baptism is understood as effecting forgiveness/new life.	80	didache	medium		https://www.newadvent.org/fathers/0714.htm
monarchical-episcopacy	Monarchical Episcopacy	ecclesiology	Single bishop presiding over a local church in unity.	107	ignatius-smyrnaeans	low		https://www.newadvent.org/fathers/0109.htm
apostolic-succession	Apostolic Succession	ecclesiology	Authority transmitted through episcopal succession from the apostles.	180	irenaeus-against-heresies	high		https://www.newadvent.org/fathers/0103.htm
logos-christology	Logos Christology	christology	Christ is identified with the divine Logos (Word) who existed before creation and became incarnate; draws on both Jewish Wisdom tradition and Stoic/Platonic Logos philosophy.	90	nt-john	low		https://en.wikipedia.org/wiki/Logos_(Christianity)
eucharistic-real-presence	Eucharistic Real Presence	sacraments	The Eucharist is the actual body and blood of Christ rather than a mere symbol; Ignatius calls it "the flesh of our Savior Jesus Christ."	107	ignatius-smyrnaeans	high		https://en.wikipedia.org/wiki/Real_presence_of_Christ_in_the_Eucharist
docetism	Docetism	christology	Christ only appeared to have a human body; his suffering and death were illusory; the divine could not truly suffer. Condemned by Ignatius of Antioch and later by the whole proto-orthodox tradition.	107	ignatius-smyrnaeans	high	Condemned; rejected at successive councils	https://en.wikipedia.org/wiki/Docetism
rule-of-faith	Rule of Faith (Regula Fidei)	theology-proper	Summary of core Christian beliefs used as a hermeneutical standard and identity marker; precursor to formal creeds; varies in wording by author but consistent in content.	107	ignatius-smyrnaeans	low		https://en.wikipedia.org/wiki/Regula_fidei
martyrdom-theology	Martyrdom Theology	soteriology	Martyrdom is understood as the supreme Christian witness; the martyr participates in Christ's own passion and gains direct entry to eternal life; shapes identity and ethics of the early church.	107	ignatius-romans	low		https://en.wikipedia.org/wiki/Martyrdom_and_persecution_in_Christianity
marcionite-dualism	Marcionite Dualism	theology-proper	Two distinct gods: the inferior, wrathful creator-god of the Hebrew Bible (demiurge) and the higher, loving God revealed by Jesus; the Hebrew Bible is wholly rejected; only an edited Pauline corpus and Luke are canonical.	144	marcion-antithesis	high	Condemned; Marcionites excommunicated; drove proto-orthodox canon formation	https://en.wikipedia.org/wiki/Marcionism
canon-formation	New Testament Canon Formation	canon	The process of determining which writings carry authoritative apostolic status; accelerated by Marcion's radical reduction and by Gnostic use of non-apostolic texts; informal consensus by mid-3rd century, formal by late 4th century.	144	marcion-antithesis	high	Substantially resolved by end of 4th century (Athanasius Festal Letter 367)	https://en.wikipedia.org/wiki/Development_of_the_New_Testament_canon
gnostic-soteriology	Gnostic Soteriology	soteriology	Salvation is achieved through secret knowledge (gnosis) of one's divine origin; the material world is the creation of an inferior demiurge; the divine spark within the elect must return to the Pleroma (divine fullness).	130	gospel-of-truth	high	Condemned; movements marginalized by 4th century	https://en.wikipedia.org/wiki/Gnosticism
new-prophecy-montanism	New Prophecy (Montanism)	pneumatology	Claims of ongoing ecstatic prophecy by Montanus, Priscilla, and Maximilla as the direct voice of the Paraclete; strict asceticism; imminent parousia; challenged the normativity of episcopal authority.	156		high	Condemned as heresy; movement persisted into 6th century	https://en.wikipedia.org/wiki/Montanism
recapitulation	Recapitulation (Anakephalaiosis)	soteriology	Irenaeus' doctrine that Christ recapitulates (sums up and reverses) Adam's disobedience at every stage of life; as Adam fell through disobedience, Christ restores through obedience; key anti-gnostic argument.	180	irenaeus-against-heresies	low		https://en.wikipedia.org/wiki/Recapitulation_theory_of_atonement
